年月,取引数,勝ち,負け,合計損益,最大DD,ロング損益,ショート損益,秒逆張り損益,勢い追随損益,水平線戻り損益,スパイク損益
2025年01月,31,13,18,40.00,,35.00,5.00,40.00,0.00,0.00,0.00
2025年03月,21,9,12,30.00,,35.00,-5.00,30.00,0.00,0.00,0.00
2025年04月,84,32,52,60.00,,45.00,15.00,60.00,0.00,0.00,0.00
2025年05月,15,3,12,-30.00,,-10.00,-20.00,-30.00,0.00,0.00,0.00
2025年06月,14,6,8,20.00,,20.00,-0.00,20.00,0.00,0.00,0.00
2025年07月,35,10,25,-25.00,,10.00,-35.00,-25.00,0.00,0.00,0.00
2025年08月,24,3,21,-75.00,,-55.00,-20.00,-75.00,0.00,0.00,0.00
2025年09月,20,6,14,-10.00,,-10.00,-0.00,-10.00,0.00,0.00,0.00
2025年10月,25,7,18,-20.00,,5.00,-25.00,-20.00,0.00,0.00,0.00
2025年11月,13,7,6,40.00,,60.00,-20.00,40.00,0.00,0.00,0.00
2025年12月,22,10,12,40.00,,15.00,25.00,40.00,0.00,0.00,0.00
