年月,取引数,勝ち,負け,合計損益,最大DD,ロング損益,ショート損益,秒逆張り損益,勢い追随損益,水平線戻り損益,スパイク損益
2025年01月,29,13,16,50.00,15.00,45.00,5.00,50.00,0.00,0.00,0.00
2025年02月,20,4,16,-40.00,60.00,-25.00,-15.00,-40.00,0.00,0.00,0.00
2025年03月,21,5,16,-30.00,40.00,5.00,-35.00,-30.00,0.00,0.00,0.00
2025年04月,77,24,53,-25.00,95.00,-0.00,-25.00,-25.00,0.00,0.00,0.00
2025年05月,19,4,15,-35.00,55.00,-10.00,-25.00,-35.00,0.00,0.00,0.00
2025年06月,16,6,10,10.00,25.00,15.00,-5.00,10.00,0.00,0.00,0.00
2025年07月,32,6,26,-70.00,80.00,-25.00,-45.00,-70.00,0.00,0.00,0.00
2025年08月,27,2,25,-105.00,110.00,-80.00,-25.00,-105.00,0.00,0.00,0.00
2025年09月,22,6,16,-20.00,35.00,-30.00,10.00,-20.00,0.00,0.00,0.00
2025年10月,20,3,17,-55.00,70.00,-25.00,-30.00,-55.00,0.00,0.00,0.00
2025年11月,10,5,5,25.00,10.00,40.00,-15.00,25.00,0.00,0.00,0.00
2025年12月,18,7,11,15.00,25.00,-5.00,20.00,15.00,0.00,0.00,0.00
