開始日,終了日,実行ID,取引ID,in時刻,out時刻,方向,in価格,out価格,ロット合計,損益,累計損益,in理由,out理由,ライン種別,ナンピン回数,平均in価格
2025-11-01,2025-11-30,20260208_055626,20260208_055626-0001,2025-11-03 17:36:23.445000,2025-11-03 21:36:36.429000,買い,154.11700,154.16600,1.00,4.90,4.90,支持線戻り,,支持抵抗,0,154.11700
2025-11-01,2025-11-30,20260208_055626,20260208_055626-0002,2025-11-03 22:40:51.965000,2025-11-04 00:00:00.263000,売り,154.28300,153.98300,1.00,30.00,34.90,抵抗線戻り,,支持抵抗,0,154.28300
2025-11-01,2025-11-30,20260208_055626,20260208_055626-0003,2025-11-04 02:49:42.479000,2025-11-04 04:36:20.470000,売り,154.16100,154.26100,1.00,-10.00,24.90,抵抗線戻り,,支持抵抗,0,154.16100
2025-11-01,2025-11-30,20260208_055626,20260208_055626-0004,2025-11-05 21:40:57.561000,2025-11-05 22:15:02.069000,売り,153.70600,153.80600,1.00,-10.00,14.90,抵抗線戻り,,支持抵抗,0,153.70600
2025-11-01,2025-11-30,20260208_055626,20260208_055626-0005,2025-11-06 15:04:54.442000,2025-11-06 17:03:08.947000,買い,153.84400,153.74400,1.00,-10.00,4.90,支持線戻り,,支持抵抗,0,153.84400
2025-11-01,2025-11-30,20260208_055626,20260208_055626-0006,2025-11-07 04:16:33.942000,2025-11-07 08:16:38.333000,売り,153.08500,152.98400,1.00,10.10,15.00,抵抗線戻り,,支持抵抗,0,153.08500
2025-11-01,2025-11-30,20260208_055626,20260208_055626-0007,2025-11-12 03:46:29.800000,2025-11-12 07:46:30.631000,売り,154.13200,154.07400,1.00,5.80,20.80,抵抗線戻り,,支持抵抗,0,154.13200
2025-11-01,2025-11-30,20260208_055626,20260208_055626-0008,2025-11-13 13:49:26.781000,2025-11-13 14:43:34.126000,売り,154.84700,154.94700,1.00,-10.00,10.80,抵抗線戻り,,支持抵抗,0,154.84700
2025-11-01,2025-11-30,20260208_055626,20260208_055626-0009,2025-11-13 14:59:58.806000,2025-11-13 17:31:21.978000,売り,154.95400,154.65400,1.00,30.00,40.80,抵抗線戻り,,支持抵抗,0,154.95400
2025-11-01,2025-11-30,20260208_055626,20260208_055626-0010,2025-11-14 17:00:20.545000,2025-11-14 19:36:02.618000,売り,154.67000,154.77000,1.00,-10.00,30.80,抵抗線戻り,,支持抵抗,0,154.67000
2025-11-01,2025-11-30,20260208_055626,20260208_055626-0011,2025-11-14 19:30:12.997000,2025-11-14 21:20:03.681000,売り,154.71400,154.41400,1.00,30.00,60.80,抵抗線戻り,,支持抵抗,0,154.71400
2025-11-01,2025-11-30,20260208_055626,20260208_055626-0012,2025-11-17 12:03:17.065000,2025-11-17 16:03:17.498000,売り,154.74200,154.66000,1.00,8.20,69.00,抵抗線戻り,,支持抵抗,0,154.74200
2025-11-01,2025-11-30,20260208_055626,20260208_055626-0013,2025-11-17 23:48:38.143000,2025-11-18 00:01:05.322000,売り,154.97800,155.07800,1.00,-10.00,59.00,抵抗線戻り,,支持抵抗,0,154.97800
2025-11-01,2025-11-30,20260208_055626,20260208_055626-0014,2025-11-18 20:49:42.778000,2025-11-18 22:26:21.632000,売り,155.42300,155.12300,1.00,30.00,89.00,抵抗線戻り,,支持抵抗,0,155.42300
2025-11-01,2025-11-30,20260208_055626,20260208_055626-0015,2025-11-18 19:50:01.242000,2025-11-18 23:50:01.244000,売り,155.35900,155.34200,1.00,1.70,90.70,抵抗線戻り,,支持抵抗,0,155.35900
2025-11-01,2025-11-30,20260208_055626,20260208_055626-0016,2025-11-19 02:51:40.880000,2025-11-19 03:06:50.626000,売り,155.63900,155.73900,1.00,-10.00,80.70,抵抗線戻り,,支持抵抗,0,155.63900
2025-11-01,2025-11-30,20260208_055626,20260208_055626-0017,2025-11-19 12:04:45.639000,2025-11-19 12:45:43.462000,買い,155.33700,155.23700,1.00,-10.00,70.70,支持線戻り,,支持抵抗,0,155.33700
2025-11-01,2025-11-30,20260208_055626,20260208_055626-0018,2025-11-20 21:37:38.993000,2025-11-20 22:30:01.470000,売り,157.67700,157.77700,1.00,-10.00,60.70,抵抗線戻り,,支持抵抗,0,157.67700
2025-11-01,2025-11-30,20260208_055626,20260208_055626-0019,2025-11-21 16:25:20.091000,2025-11-21 16:35:12.439000,買い,157.05000,156.95000,1.00,-10.00,50.70,支持線戻り,,支持抵抗,0,157.05000
2025-11-01,2025-11-30,20260208_055626,20260208_055626-0020,2025-11-24 14:05:34.846000,2025-11-24 16:49:15.350000,買い,156.52600,156.82600,1.00,30.00,80.70,支持線戻り,,支持抵抗,0,156.52600
2025-11-01,2025-11-30,20260208_055626,20260208_055626-0021,2025-11-24 22:07:17.548000,2025-11-24 23:15:57.094000,売り,156.93400,157.03400,1.00,-10.00,70.70,抵抗線戻り,,支持抵抗,0,156.93400
2025-11-01,2025-11-30,20260208_055626,20260208_055626-0022,2025-11-25 04:57:54.414000,2025-11-25 08:57:54.420000,買い,156.77600,156.94100,1.00,16.50,87.20,支持線戻り,,支持抵抗,0,156.77600
