開始日,終了日,実行ID,取引ID,段階,種別,in時刻,in価格,ロット
2025-11-01,2025-11-30,20260208_055626,20260208_055626-0001,1,初回,2025-11-03 17:36:23.445000,154.11700,1.00
2025-11-01,2025-11-30,20260208_055626,20260208_055626-0002,1,初回,2025-11-03 22:40:51.965000,154.28300,1.00
2025-11-01,2025-11-30,20260208_055626,20260208_055626-0003,1,初回,2025-11-04 02:49:42.479000,154.16100,1.00
2025-11-01,2025-11-30,20260208_055626,20260208_055626-0004,1,初回,2025-11-05 21:40:57.561000,153.70600,1.00
2025-11-01,2025-11-30,20260208_055626,20260208_055626-0005,1,初回,2025-11-06 15:04:54.442000,153.84400,1.00
2025-11-01,2025-11-30,20260208_055626,20260208_055626-0006,1,初回,2025-11-07 04:16:33.942000,153.08500,1.00
2025-11-01,2025-11-30,20260208_055626,20260208_055626-0007,1,初回,2025-11-12 03:46:29.800000,154.13200,1.00
2025-11-01,2025-11-30,20260208_055626,20260208_055626-0008,1,初回,2025-11-13 13:49:26.781000,154.84700,1.00
2025-11-01,2025-11-30,20260208_055626,20260208_055626-0009,1,初回,2025-11-13 14:59:58.806000,154.95400,1.00
2025-11-01,2025-11-30,20260208_055626,20260208_055626-0010,1,初回,2025-11-14 17:00:20.545000,154.67000,1.00
2025-11-01,2025-11-30,20260208_055626,20260208_055626-0011,1,初回,2025-11-14 19:30:12.997000,154.71400,1.00
2025-11-01,2025-11-30,20260208_055626,20260208_055626-0012,1,初回,2025-11-17 12:03:17.065000,154.74200,1.00
2025-11-01,2025-11-30,20260208_055626,20260208_055626-0013,1,初回,2025-11-17 23:48:38.143000,154.97800,1.00
2025-11-01,2025-11-30,20260208_055626,20260208_055626-0014,1,初回,2025-11-18 20:49:42.778000,155.42300,1.00
2025-11-01,2025-11-30,20260208_055626,20260208_055626-0015,1,初回,2025-11-18 19:50:01.242000,155.35900,1.00
2025-11-01,2025-11-30,20260208_055626,20260208_055626-0016,1,初回,2025-11-19 02:51:40.880000,155.63900,1.00
2025-11-01,2025-11-30,20260208_055626,20260208_055626-0017,1,初回,2025-11-19 12:04:45.639000,155.33700,1.00
2025-11-01,2025-11-30,20260208_055626,20260208_055626-0018,1,初回,2025-11-20 21:37:38.993000,157.67700,1.00
2025-11-01,2025-11-30,20260208_055626,20260208_055626-0019,1,初回,2025-11-21 16:25:20.091000,157.05000,1.00
2025-11-01,2025-11-30,20260208_055626,20260208_055626-0020,1,初回,2025-11-24 14:05:34.846000,156.52600,1.00
2025-11-01,2025-11-30,20260208_055626,20260208_055626-0021,1,初回,2025-11-24 22:07:17.548000,156.93400,1.00
2025-11-01,2025-11-30,20260208_055626,20260208_055626-0022,1,初回,2025-11-25 04:57:54.414000,156.77600,1.00
2025-11-01,2025-11-30,20260208_055626,20260208_055626-0023,1,初回,2025-11-25 18:32:34.390000,156.27800,1.00
2025-11-01,2025-11-30,20260208_055626,20260208_055626-0024,1,初回,2025-11-27 18:26:42.493000,156.39000,1.00
2025-11-01,2025-11-30,20260208_055626,20260208_055626-0025,1,初回,2025-11-27 23:02:57.761000,156.25800,1.00
2025-12-01,2025-12-31,20260208_055715,20260208_055715-0001,1,初回,2025-12-01 18:45:45.915000,155.34100,1.00
2025-12-01,2025-12-31,20260208_055715,20260208_055715-0002,1,初回,2025-12-02 02:11:19.018000,155.31100,1.00
2025-12-01,2025-12-31,20260208_055715,20260208_055715-0003,1,初回,2025-12-02 02:52:30.344000,155.36000,1.00
2025-12-01,2025-12-31,20260208_055715,20260208_055715-0004,1,初回,2025-12-02 16:24:42.975000,155.82300,1.00
2025-12-01,2025-12-31,20260208_055715,20260208_055715-0005,1,初回,2025-12-05 19:57:54.258000,155.13500,1.00
2025-12-01,2025-12-31,20260208_055715,20260208_055715-0006,1,初回,2025-12-09 17:12:08.270000,156.27700,1.00
2025-12-01,2025-12-31,20260208_055715,20260208_055715-0007,1,初回,2025-12-09 21:15:45.638000,156.28600,1.00
2025-12-01,2025-12-31,20260208_055715,20260208_055715-0008,1,初回,2025-12-11 21:07:39.022000,155.76800,1.00
2025-12-01,2025-12-31,20260208_055715,20260208_055715-0009,1,初回,2025-12-12 14:26:23.938000,155.76300,1.00
2025-12-01,2025-12-31,20260208_055715,20260208_055715-0010,1,初回,2025-12-12 18:22:00.440000,155.85600,1.00
2025-12-01,2025-12-31,20260208_055715,20260208_055715-0011,1,初回,2025-12-12 18:29:25.168000,155.86500,1.00
2025-12-01,2025-12-31,20260208_055715,20260208_055715-0012,1,初回,2025-12-12 19:29:09.194000,155.94800,1.00
2025-12-01,2025-12-31,20260208_055715,20260208_055715-0013,1,初回,2025-12-13 04:50:51.753000,155.92800,1.00
2025-12-01,2025-12-31,20260208_055715,20260208_055715-0014,1,初回,2025-12-15 13:41:25.710000,155.22600,1.00
2025-12-01,2025-12-31,20260208_055715,20260208_055715-0015,1,初回,2025-12-16 03:41:12.400000,155.36400,1.00
2025-12-01,2025-12-31,20260208_055715,20260208_055715-0016,1,初回,2025-12-16 14:24:30.172000,154.70500,1.00
2025-12-01,2025-12-31,20260208_055715,20260208_055715-0017,1,初回,2025-12-16 22:07:40.469000,154.60700,1.00
2025-12-01,2025-12-31,20260208_055715,20260208_055715-0018,1,初回,2025-12-18 15:19:00.280000,155.88300,1.00
2025-12-01,2025-12-31,20260208_055715,20260208_055715-0019,1,初回,2025-12-18 19:25:34.149000,155.95600,1.00
2025-12-01,2025-12-31,20260208_055715,20260208_055715-0020,1,初回,2025-12-19 11:43:17.241000,155.79000,1.00
2025-12-01,2025-12-31,20260208_055715,20260208_055715-0021,1,初回,2025-12-22 11:17:55.218000,157.26400,1.00
2025-12-01,2025-12-31,20260208_055715,20260208_055715-0022,1,初回,2025-12-24 21:51:57.573000,155.97600,1.00
2025-12-01,2025-12-31,20260208_055715,20260208_055715-0023,1,初回,2025-12-25 02:25:16.216000,155.91800,1.00
2025-12-01,2025-12-31,20260208_055715,20260208_055715-0024,1,初回,2025-12-25 11:21:22.444000,155.75400,1.00
2025-12-01,2025-12-31,20260208_055715,20260208_055715-0025,1,初回,2025-12-25 12:55:40.469000,155.69900,1.00
2025-12-01,2025-12-31,20260208_055715,20260208_055715-0026,1,初回,2025-12-25 14:55:55.665000,155.75800,1.00
2025-12-01,2025-12-31,20260208_055715,20260208_055715-0027,1,初回,2025-12-25 15:51:04.284000,155.85100,1.00
2025-12-01,2025-12-31,20260208_055715,20260208_055715-0028,1,初回,2025-12-25 16:50:21.770000,155.90100,1.00
2025-12-01,2025-12-31,20260208_055715,20260208_055715-0029,1,初回,2025-12-30 14:02:38.330000,156.05900,1.00
2025-12-01,2025-12-31,20260208_055715,20260208_055715-0030,1,初回,2025-12-31 13:20:48.498000,156.55900,1.00
2025-12-01,2025-12-31,20260208_055715,20260208_055715-0031,1,初回,2025-12-31 23:08:01.688000,156.92500,1.00
