開始日,終了日,実行ID,取引ID,in時刻,out時刻,方向,in価格,out価格,ロット合計,損益,累計損益,in理由,out理由,ライン種別,ナンピン回数,平均in価格
2025-12-01,2025-12-31,20260209_132601,20260209_132601-0001,2025-12-03 00:09:35.656000,2025-12-03 00:11:07.462000,売り,156.12200,156.17200,1.00,-5.00,-5.00,水平線手前,損切,支持抵抗,0,156.12200
2025-12-01,2025-12-31,20260209_132601,20260209_132601-0002,2025-12-04 00:25:15.423000,2025-12-04 00:35:19.680000,買い,155.24600,155.39600,1.00,15.00,10.00,水平線手前,利確,支持抵抗,0,155.24600
2025-12-01,2025-12-31,20260209_132601,20260209_132601-0003,2025-12-04 17:08:08.241000,2025-12-04 17:08:14.831000,買い,155.04900,154.99900,1.00,-5.00,5.00,水平線手前,損切,支持抵抗,0,155.04900
2025-12-01,2025-12-31,20260209_132601,20260209_132601-0004,2025-12-04 20:05:14.723000,2025-12-04 20:07:46.855000,買い,154.69800,154.64800,1.00,-5.00,0.00,水平線手前,損切,支持抵抗,0,154.69800
2025-12-01,2025-12-31,20260209_132601,20260209_132601-0005,2025-12-05 04:57:59.312000,2025-12-05 05:38:15.618000,売り,155.03000,155.08000,1.00,-5.00,-5.00,水平線手前,損切,支持抵抗,0,155.03000
2025-12-01,2025-12-31,20260209_132601,20260209_132601-0006,2025-12-05 14:39:18.993000,2025-12-05 15:37:13.325000,買い,154.59100,154.54100,1.00,-5.00,-10.00,水平線手前,損切,支持抵抗,0,154.59100
2025-12-01,2025-12-31,20260209_132601,20260209_132601-0007,2025-12-05 15:37:13.739000,2025-12-05 15:38:55.952000,買い,154.54700,154.49700,1.00,-5.00,-15.00,水平線手前,損切,支持抵抗,0,154.54700
2025-12-01,2025-12-31,20260209_132601,20260209_132601-0008,2025-12-05 20:32:33.422000,2025-12-05 21:21:12.465000,売り,155.20300,155.25300,1.00,-5.00,-20.00,水平線手前,損切,支持抵抗,0,155.20300
2025-12-01,2025-12-31,20260209_132601,20260209_132601-0009,2025-12-08 17:30:07.757000,2025-12-08 18:11:11.494000,売り,155.46200,155.51200,1.00,-5.00,-25.00,水平線手前,損切,支持抵抗,0,155.46200
2025-12-01,2025-12-31,20260209_132601,20260209_132601-0010,2025-12-08 18:11:37.725000,2025-12-08 20:02:08.837000,売り,155.51100,155.56100,1.00,-5.00,-30.00,水平線手前,損切,支持抵抗,0,155.51100
2025-12-01,2025-12-31,20260209_132601,20260209_132601-0011,2025-12-08 20:05:14.254000,2025-12-08 21:07:28.068000,売り,155.56800,155.61800,1.00,-5.00,-35.00,水平線手前,損切,支持抵抗,0,155.56800
2025-12-01,2025-12-31,20260209_132601,20260209_132601-0012,2025-12-09 14:07:23.568000,2025-12-09 14:07:23.893000,売り,156.06200,156.11200,1.00,-5.00,-40.00,水平線手前,損切,支持抵抗,0,156.06200
2025-12-01,2025-12-31,20260209_132601,20260209_132601-0013,2025-12-09 16:16:15.014000,2025-12-09 17:00:04.577000,売り,156.15900,156.20900,1.00,-5.00,-45.00,水平線手前,損切,支持抵抗,0,156.15900
2025-12-01,2025-12-31,20260209_132601,20260209_132601-0014,2025-12-09 22:13:08.762000,2025-12-09 22:24:36.947000,売り,156.40400,156.45400,1.00,-5.00,-50.00,水平線手前,損切,支持抵抗,0,156.40400
2025-12-01,2025-12-31,20260209_132601,20260209_132601-0015,2025-12-10 22:34:07.351000,2025-12-10 23:00:01.690000,買い,156.59800,156.54800,1.00,-5.00,-55.00,水平線手前,損切,支持抵抗,0,156.59800
2025-12-01,2025-12-31,20260209_132601,20260209_132601-0016,2025-12-11 14:56:34.015000,2025-12-11 15:02:19.421000,売り,156.07000,156.12000,1.00,-5.00,-60.00,水平線手前,損切,支持抵抗,0,156.07000
2025-12-01,2025-12-31,20260209_132601,20260209_132601-0017,2025-12-11 22:05:21.507000,2025-12-11 22:29:45.021000,買い,155.52800,155.47800,1.00,-5.00,-65.00,水平線手前,損切,支持抵抗,0,155.52800
2025-12-01,2025-12-31,20260209_132601,20260209_132601-0018,2025-12-15 15:30:04.079000,2025-12-15 15:47:31.553000,買い,154.98800,155.13800,1.00,15.00,-50.00,水平線手前,利確,支持抵抗,0,154.98800
2025-12-01,2025-12-31,20260209_132601,20260209_132601-0019,2025-12-15 18:13:14.282000,2025-12-15 19:31:35.010000,買い,154.98700,155.13700,1.00,15.00,-35.00,水平線手前,利確,支持抵抗,0,154.98700
2025-12-01,2025-12-31,20260209_132601,20260209_132601-0020,2025-12-15 20:53:21.917000,2025-12-15 20:54:08.958000,買い,154.94000,154.89000,1.00,-5.00,-40.00,水平線手前,損切,支持抵抗,0,154.94000
2025-12-01,2025-12-31,20260209_132601,20260209_132601-0021,2025-12-15 23:45:28.079000,2025-12-16 00:19:58.619000,買い,154.88600,155.03600,1.00,15.00,-25.00,水平線手前,利確,支持抵抗,0,154.88600
2025-12-01,2025-12-31,20260209_132601,20260209_132601-0022,2025-12-16 01:00:39.697000,2025-12-16 01:18:21.513000,売り,155.19700,155.24700,1.00,-5.00,-30.00,水平線手前,損切,支持抵抗,0,155.19700
2025-12-01,2025-12-31,20260209_132601,20260209_132601-0023,2025-12-16 01:23:50.383000,2025-12-16 01:37:11.774000,売り,155.26200,155.31200,1.00,-5.00,-35.00,水平線手前,損切,支持抵抗,0,155.26200
