開始日,終了日,実行ID,取引ID,段階,種別,in時刻,in価格,ロット
2025-10-01,2025-10-31,20260208_230611,20260208_230611-0001,1,初回,2025-10-01 21:15:47.320000,146.90200,1.00
2025-10-01,2025-10-31,20260208_230611,20260208_230611-0002,1,初回,2025-10-03 23:00:00.307000,147.09000,1.00
2025-10-01,2025-10-31,20260208_230611,20260208_230611-0003,1,初回,2025-10-03 23:00:00.585000,147.08600,1.00
2025-10-01,2025-10-31,20260208_230611,20260208_230611-0004,1,初回,2025-10-03 23:00:00.461000,147.10600,1.00
2025-10-01,2025-10-31,20260208_230611,20260208_230611-0005,1,初回,2025-10-09 22:06:59.876000,152.60300,1.00
2025-10-01,2025-10-31,20260208_230611,20260208_230611-0006,1,初回,2025-10-09 22:07:02.848000,152.44200,1.00
2025-10-01,2025-10-31,20260208_230611,20260208_230611-0007,1,初回,2025-10-09 22:07:03.007000,152.41300,1.00
2025-10-01,2025-10-31,20260208_230611,20260208_230611-0008,1,初回,2025-10-09 22:07:03.427000,152.36600,1.00
2025-10-01,2025-10-31,20260208_230611,20260208_230611-0009,1,初回,2025-10-09 22:07:03.639000,152.36300,1.00
2025-10-01,2025-10-31,20260208_230611,20260208_230611-0010,1,初回,2025-10-09 22:07:03.800000,152.28800,1.00
2025-10-01,2025-10-31,20260208_230611,20260208_230611-0011,1,初回,2025-10-09 22:07:08.703000,152.39400,1.00
2025-10-01,2025-10-31,20260208_230611,20260208_230611-0012,1,初回,2025-10-09 22:07:12.265000,152.37400,1.00
2025-10-01,2025-10-31,20260208_230611,20260208_230611-0013,1,初回,2025-10-09 22:11:28.107000,152.13800,1.00
2025-10-01,2025-10-31,20260208_230611,20260208_230611-0014,1,初回,2025-10-09 22:11:28.001000,152.15400,1.00
2025-10-01,2025-10-31,20260208_230611,20260208_230611-0015,1,初回,2025-10-09 22:11:27.683000,152.20300,1.00
2025-10-01,2025-10-31,20260208_230611,20260208_230611-0016,1,初回,2025-10-10 15:35:31.431000,152.66300,1.00
2025-10-01,2025-10-31,20260208_230611,20260208_230611-0017,1,初回,2025-10-10 15:35:31.799000,152.65700,1.00
2025-10-01,2025-10-31,20260208_230611,20260208_230611-0018,1,初回,2025-10-10 15:35:34.059000,152.56000,1.00
2025-10-01,2025-10-31,20260208_230611,20260208_230611-0019,1,初回,2025-10-10 15:35:45.729000,152.51400,1.00
2025-10-01,2025-10-31,20260208_230611,20260208_230611-0020,1,初回,2025-10-21 14:05:02.636000,150.88200,1.00
2025-10-01,2025-10-31,20260208_230611,20260208_230611-0021,1,初回,2025-10-21 14:05:02.316000,150.90200,1.00
2025-10-01,2025-10-31,20260208_230611,20260208_230611-0022,1,初回,2025-10-23 01:30:37.772000,151.64900,1.00
2025-10-01,2025-10-31,20260208_230611,20260208_230611-0023,1,初回,2025-10-23 01:30:38.463000,151.64000,1.00
2025-10-01,2025-10-31,20260208_230611,20260208_230611-0024,1,初回,2025-10-23 01:30:38.516000,151.63000,1.00
2025-10-01,2025-10-31,20260208_230611,20260208_230611-0025,1,初回,2025-10-24 21:30:01.297000,152.53800,1.00
2025-10-01,2025-10-31,20260208_230611,20260208_230611-0026,1,初回,2025-10-24 21:30:01.350000,152.49400,1.00
2025-10-01,2025-10-31,20260208_230611,20260208_230611-0027,1,初回,2025-10-24 21:30:01.402000,152.39400,1.00
2025-10-01,2025-10-31,20260208_230611,20260208_230611-0028,1,初回,2025-10-24 21:30:01.663000,152.28100,1.00
2025-10-01,2025-10-31,20260208_230611,20260208_230611-0029,1,初回,2025-10-24 21:30:03.117000,152.33200,1.00
2025-10-01,2025-10-31,20260208_230611,20260208_230611-0030,1,初回,2025-10-24 21:30:13.501000,152.43200,1.00
2025-10-01,2025-10-31,20260208_230611,20260208_230611-0031,1,初回,2025-10-29 01:30:46.024000,152.28600,1.00
2025-10-01,2025-10-31,20260208_230611,20260208_230611-0032,1,初回,2025-10-30 03:35:33.423000,152.71700,1.00
2025-10-01,2025-10-31,20260208_230611,20260208_230611-0033,1,初回,2025-10-30 03:35:33.370000,152.70400,1.00
2025-10-01,2025-10-31,20260208_230611,20260208_230611-0034,1,初回,2025-10-30 12:15:18.593000,152.63300,1.00
2025-10-01,2025-10-31,20260208_230611,20260208_230611-0035,1,初回,2025-10-30 13:35:03.229000,152.84000,1.00
2025-11-01,2025-11-30,20260208_230901,20260208_230901-0001,1,初回,2025-11-04 00:00:00.211000,153.99900,1.00
