開始日,終了日,実行ID,取引ID,in時刻,out時刻,方向,in価格,out価格,ロット合計,損益,累計損益,in理由,out理由,ライン種別,ナンピン回数,平均in価格
2025-01-01,2025-01-31,20260209_000924,20260209_000924-0001,2025-01-10 22:30:01.667000,2025-01-10 22:30:01.968000,売り,158.41900,158.31900,1.00,10.00,10.00,水平線手前,利確,支持抵抗,0,158.41900
2025-01-01,2025-01-31,20260209_000924,20260209_000924-0002,2025-01-10 22:30:01.909000,2025-01-10 22:30:01.968000,売り,158.42500,158.32500,1.00,10.00,20.00,水平線手前,利確,支持抵抗,0,158.42500
2025-01-01,2025-01-31,20260209_000924,20260209_000924-0003,2025-01-10 22:30:02.657000,2025-01-10 22:30:14.262000,売り,158.49600,158.59600,1.00,-10.00,10.00,水平線手前,損切,支持抵抗,0,158.49600
2025-01-01,2025-01-31,20260209_000924,20260209_000924-0004,2025-01-10 22:30:03.249000,2025-01-10 22:30:14.673000,売り,158.51500,158.61500,1.00,-10.00,0.00,水平線手前,損切,支持抵抗,0,158.51500
2025-01-01,2025-01-31,20260209_000924,20260209_000924-0005,2025-01-10 22:30:03.365000,2025-01-10 22:30:14.673000,売り,158.52200,158.62200,1.00,-10.00,-10.00,水平線手前,損切,支持抵抗,0,158.52200
2025-01-01,2025-01-31,20260209_000924,20260209_000924-0006,2025-01-14 22:30:05.113000,2025-01-14 22:30:07.177000,買い,157.40000,157.50000,1.00,10.00,0.00,水平線手前,利確,支持抵抗,0,157.40000
2025-01-01,2025-01-31,20260209_000924,20260209_000924-0007,2025-01-15 22:30:01.352000,2025-01-15 22:30:01.938000,買い,156.65400,156.55400,1.00,-10.00,-10.00,水平線手前,損切,支持抵抗,0,156.65400
2025-01-01,2025-01-31,20260209_000924,20260209_000924-0008,2025-01-15 22:30:01.938000,2025-01-15 22:30:04.708000,買い,156.42400,156.52400,1.00,10.00,0.00,水平線手前,利確,支持抵抗,0,156.42400
2025-01-01,2025-01-31,20260209_000924,20260209_000924-0009,2025-01-21 02:25:05.878000,2025-01-21 02:25:27.025000,売り,156.03800,155.93800,1.00,10.00,10.00,水平線手前,利確,支持抵抗,0,156.03800
2025-01-01,2025-01-31,20260209_000924,20260209_000924-0010,2025-01-24 12:24:28.551000,2025-01-24 12:24:58.792000,売り,156.36300,156.36700,1.00,-0.40,9.60,水平線手前,時間,支持抵抗,0,156.36300
2025-01-01,2025-01-31,20260209_000924,20260209_000924-0011,2025-01-24 12:24:29.145000,2025-01-24 12:24:59.177000,売り,156.37700,156.37300,1.00,0.40,10.00,水平線手前,時間,支持抵抗,0,156.37700
2025-01-01,2025-01-31,20260209_000924,20260209_000924-0012,2025-01-24 15:44:22.759000,2025-01-24 15:44:23.663000,売り,155.69100,155.59100,1.00,10.00,20.00,水平線手前,利確,支持抵抗,0,155.69100
2025-01-01,2025-01-31,20260209_000924,20260209_000924-0013,2025-01-24 23:45:00.285000,2025-01-24 23:45:02.367000,買い,156.11100,156.21100,1.00,10.00,30.00,水平線手前,利確,支持抵抗,0,156.11100
