開始日,終了日,実行ID,取引ID,段階,種別,in時刻,in価格,ロット
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0001,1,初回,2025-12-01 16:26:28.259000,155.43000,1.00
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0002,1,初回,2025-12-01 17:07:02.891000,155.34200,1.00
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0003,1,初回,2025-12-01 19:01:11.143000,155.30000,1.00
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0004,1,初回,2025-12-01 19:01:12.120000,155.30000,1.00
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0005,1,初回,2025-12-01 20:30:23.247000,155.20000,1.00
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0006,1,初回,2025-12-02 04:00:50.822000,155.50000,1.00
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0007,1,初回,2025-12-02 15:10:18.050000,155.74500,1.00
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0008,1,初回,2025-12-02 20:00:18.432000,156.03500,1.00
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0009,1,初回,2025-12-03 00:09:35.656000,156.12200,1.00
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0010,1,初回,2025-12-03 00:33:34.414000,155.93300,1.00
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0011,1,初回,2025-12-03 02:12:35.915000,156.05300,1.00
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0012,1,初回,2025-12-03 15:22:37.042000,155.57900,1.00
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0013,1,初回,2025-12-03 17:07:44.203000,155.72100,1.00
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0014,1,初回,2025-12-03 18:42:57.259000,155.55300,1.00
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0015,1,初回,2025-12-03 18:43:00.182000,155.54900,1.00
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0016,1,初回,2025-12-03 20:44:16.233000,155.42300,1.00
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0017,1,初回,2025-12-04 00:10:31.447000,155.31800,1.00
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0018,1,初回,2025-12-04 00:25:15.423000,155.24600,1.00
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0019,1,初回,2025-12-04 11:20:22.286000,155.38200,1.00
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0020,1,初回,2025-12-04 16:46:24.757000,155.22500,1.00
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0021,1,初回,2025-12-04 17:03:08.609000,155.11300,1.00
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0022,1,初回,2025-12-04 17:07:41.821000,155.05900,1.00
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0023,1,初回,2025-12-04 17:08:08.241000,155.04900,1.00
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0024,1,初回,2025-12-04 17:08:08.915000,155.04300,1.00
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0025,1,初回,2025-12-04 17:20:55.526000,154.87200,1.00
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0026,1,初回,2025-12-04 19:00:28.103000,154.83700,1.00
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0027,1,初回,2025-12-04 19:00:03.193000,154.81000,1.00
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0028,1,初回,2025-12-04 20:02:33.964000,154.77800,1.00
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0029,1,初回,2025-12-04 20:05:14.723000,154.69800,1.00
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0030,1,初回,2025-12-04 22:30:03.477000,155.03500,1.00
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0031,1,初回,2025-12-05 00:41:49.835000,154.60000,1.00
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0032,1,初回,2025-12-05 04:57:59.312000,155.03000,1.00
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0033,1,初回,2025-12-05 13:27:17.488000,154.95300,1.00
