開始日,終了日,実行ID,取引ID,in時刻,out時刻,方向,in価格,out価格,ロット合計,損益,累計損益,in理由,out理由,ライン種別,ナンピン回数,平均in価格
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0001,2025-12-01 16:26:28.259000,2025-12-01 16:39:57.120000,買い,155.43000,155.38000,1.00,-5.00,-5.00,水平線手前,損切,支持抵抗,0,155.43000
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0002,2025-12-01 17:07:02.891000,2025-12-01 17:21:09.490000,買い,155.34200,155.29200,1.00,-5.00,-10.00,水平線手前,損切,支持抵抗,0,155.34200
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0003,2025-12-01 19:01:11.143000,2025-12-01 19:04:33.444000,買い,155.30000,155.25000,1.00,-5.00,-15.00,水平線手前,損切,支持抵抗,0,155.30000
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0004,2025-12-01 19:01:12.120000,2025-12-01 19:04:33.444000,買い,155.30000,155.25000,1.00,-5.00,-20.00,水平線手前,損切,支持抵抗,0,155.30000
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0005,2025-12-01 20:30:23.247000,2025-12-01 20:41:55.608000,買い,155.20000,155.15000,1.00,-5.00,-25.00,水平線手前,損切,支持抵抗,0,155.20000
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0006,2025-12-02 04:00:50.822000,2025-12-02 08:46:00.661000,売り,155.50000,155.55000,1.00,-5.00,-30.00,水平線手前,損切,支持抵抗,0,155.50000
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0007,2025-12-02 15:10:18.050000,2025-12-02 15:28:14.364000,売り,155.74500,155.79500,1.00,-5.00,-35.00,水平線手前,損切,支持抵抗,0,155.74500
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0008,2025-12-02 20:00:18.432000,2025-12-02 23:10:36.109000,売り,156.03500,156.08500,1.00,-5.00,-40.00,水平線手前,損切,支持抵抗,0,156.03500
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0009,2025-12-03 00:09:35.656000,2025-12-03 00:11:07.462000,売り,156.12200,156.17200,1.00,-5.00,-45.00,水平線手前,損切,支持抵抗,0,156.12200
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0010,2025-12-03 00:33:34.414000,2025-12-03 00:33:44.103000,買い,155.93300,155.88300,1.00,-5.00,-50.00,水平線手前,損切,支持抵抗,0,155.93300
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0011,2025-12-03 02:12:35.915000,2025-12-03 04:26:33.426000,売り,156.05300,155.90300,1.00,15.00,-35.00,水平線手前,利確,支持抵抗,0,156.05300
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0012,2025-12-03 15:22:37.042000,2025-12-03 15:28:51.990000,買い,155.57900,155.52900,1.00,-5.00,-40.00,水平線手前,損切,支持抵抗,0,155.57900
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0013,2025-12-03 17:07:44.203000,2025-12-03 18:41:55.449000,売り,155.72100,155.57100,1.00,15.00,-25.00,水平線手前,利確,支持抵抗,0,155.72100
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0014,2025-12-03 18:42:57.259000,2025-12-03 20:00:21.533000,買い,155.55300,155.50300,1.00,-5.00,-30.00,水平線手前,損切,支持抵抗,0,155.55300
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0015,2025-12-03 18:43:00.182000,2025-12-03 20:00:55.623000,買い,155.54900,155.49900,1.00,-5.00,-35.00,水平線手前,損切,支持抵抗,0,155.54900
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0016,2025-12-03 20:44:16.233000,2025-12-03 21:01:32.196000,買い,155.42300,155.37300,1.00,-5.00,-40.00,水平線手前,損切,支持抵抗,0,155.42300
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0017,2025-12-04 00:10:31.447000,2025-12-04 00:11:16.545000,買い,155.31800,155.46800,1.00,15.00,-25.00,水平線手前,利確,支持抵抗,0,155.31800
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0018,2025-12-04 00:25:15.423000,2025-12-04 00:35:19.680000,買い,155.24600,155.39600,1.00,15.00,-10.00,水平線手前,利確,支持抵抗,0,155.24600
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0019,2025-12-04 11:20:22.286000,2025-12-04 11:39:21.514000,売り,155.38200,155.43200,1.00,-5.00,-15.00,水平線手前,損切,支持抵抗,0,155.38200
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0020,2025-12-04 16:46:24.757000,2025-12-04 17:01:13.042000,買い,155.22500,155.17500,1.00,-5.00,-20.00,水平線手前,損切,支持抵抗,0,155.22500
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0021,2025-12-04 17:03:08.609000,2025-12-04 17:03:25.510000,買い,155.11300,155.06300,1.00,-5.00,-25.00,水平線手前,損切,支持抵抗,0,155.11300
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0022,2025-12-04 17:07:41.821000,2025-12-04 17:08:09.392000,買い,155.05900,155.00900,1.00,-5.00,-30.00,水平線手前,損切,支持抵抗,0,155.05900
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0023,2025-12-04 17:08:08.241000,2025-12-04 17:08:14.831000,買い,155.04900,154.99900,1.00,-5.00,-35.00,水平線手前,損切,支持抵抗,0,155.04900
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0024,2025-12-04 17:08:08.915000,2025-12-04 17:08:14.990000,買い,155.04300,154.99300,1.00,-5.00,-40.00,水平線手前,損切,支持抵抗,0,155.04300
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0025,2025-12-04 17:20:55.526000,2025-12-04 17:23:02.145000,買い,154.87200,154.82200,1.00,-5.00,-45.00,水平線手前,損切,支持抵抗,0,154.87200
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0026,2025-12-04 19:00:28.103000,2025-12-04 19:05:51.054000,買い,154.83700,154.78700,1.00,-5.00,-50.00,水平線手前,損切,支持抵抗,0,154.83700
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0027,2025-12-04 19:00:03.193000,2025-12-04 19:05:52.531000,買い,154.81000,154.76000,1.00,-5.00,-55.00,水平線手前,損切,支持抵抗,0,154.81000
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0028,2025-12-04 20:02:33.964000,2025-12-04 20:04:36.843000,買い,154.77800,154.72800,1.00,-5.00,-60.00,水平線手前,損切,支持抵抗,0,154.77800
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0029,2025-12-04 20:05:14.723000,2025-12-04 20:07:46.855000,買い,154.69800,154.64800,1.00,-5.00,-65.00,水平線手前,損切,支持抵抗,0,154.69800
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0030,2025-12-04 22:30:03.477000,2025-12-04 22:31:04.219000,売り,155.03500,154.88500,1.00,15.00,-50.00,水平線手前,利確,支持抵抗,0,155.03500
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0031,2025-12-05 00:41:49.835000,2025-12-05 01:09:49.477000,買い,154.60000,154.75000,1.00,15.00,-35.00,水平線手前,利確,支持抵抗,0,154.60000
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0032,2025-12-05 04:57:59.312000,2025-12-05 05:38:15.618000,売り,155.03000,155.08000,1.00,-5.00,-40.00,水平線手前,損切,支持抵抗,0,155.03000
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0033,2025-12-05 13:27:17.488000,2025-12-05 13:27:21.538000,買い,154.95300,154.90300,1.00,-5.00,-45.00,水平線手前,損切,支持抵抗,0,154.95300
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0034,2025-12-05 13:33:05.364000,2025-12-05 13:52:30.045000,買い,154.95400,154.90400,1.00,-5.00,-50.00,水平線手前,損切,支持抵抗,0,154.95400
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0035,2025-12-05 14:20:28.554000,2025-12-05 14:24:58.861000,買い,154.83200,154.78200,1.00,-5.00,-55.00,水平線手前,損切,支持抵抗,0,154.83200
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0036,2025-12-05 14:39:18.993000,2025-12-05 15:37:13.325000,買い,154.59100,154.54100,1.00,-5.00,-60.00,水平線手前,損切,支持抵抗,0,154.59100
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0037,2025-12-05 15:37:13.739000,2025-12-05 15:38:55.952000,買い,154.54700,154.49700,1.00,-5.00,-65.00,水平線手前,損切,支持抵抗,0,154.54700
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0038,2025-12-05 19:31:25.659000,2025-12-05 19:56:51.450000,売り,155.12700,155.17700,1.00,-5.00,-70.00,水平線手前,損切,支持抵抗,0,155.12700
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0039,2025-12-05 19:31:36.295000,2025-12-05 20:02:00.736000,売り,155.13300,155.18300,1.00,-5.00,-75.00,水平線手前,損切,支持抵抗,0,155.13300
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0040,2025-12-05 20:32:33.422000,2025-12-05 21:21:12.465000,売り,155.20300,155.25300,1.00,-5.00,-80.00,水平線手前,損切,支持抵抗,0,155.20300
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0041,2025-12-06 00:02:06.538000,2025-12-06 00:02:36.641000,売り,155.25400,155.30400,1.00,-5.00,-85.00,水平線手前,損切,支持抵抗,0,155.25400
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0042,2025-12-06 01:13:43.111000,2025-12-06 01:17:46.967000,売り,155.42000,155.47000,1.00,-5.00,-90.00,水平線手前,損切,支持抵抗,0,155.42000
