開始日,終了日,実行ID,取引ID,段階,種別,in時刻,in価格,ロット
2025-12-01,2025-12-31,20260209_125731,20260209_125731-0001,1,初回,2025-12-03 00:09:35.656000,156.12200,1.00
2025-12-01,2025-12-31,20260209_125731,20260209_125731-0002,1,初回,2025-12-03 18:42:57.259000,155.55300,1.00
2025-12-01,2025-12-31,20260209_125731,20260209_125731-0003,1,初回,2025-12-04 00:10:31.447000,155.31800,1.00
2025-12-01,2025-12-31,20260209_125731,20260209_125731-0004,1,初回,2025-12-04 00:25:15.423000,155.24600,1.00
2025-12-01,2025-12-31,20260209_125731,20260209_125731-0005,1,初回,2025-12-04 17:08:08.241000,155.04900,1.00
2025-12-01,2025-12-31,20260209_125731,20260209_125731-0006,1,初回,2025-12-04 17:08:08.915000,155.04300,1.00
2025-12-01,2025-12-31,20260209_125731,20260209_125731-0007,1,初回,2025-12-04 19:00:28.103000,154.83700,1.00
2025-12-01,2025-12-31,20260209_125731,20260209_125731-0008,1,初回,2025-12-04 20:05:14.723000,154.69800,1.00
2025-12-01,2025-12-31,20260209_125731,20260209_125731-0009,1,初回,2025-12-05 00:41:49.835000,154.60000,1.00
2025-12-01,2025-12-31,20260209_125731,20260209_125731-0010,1,初回,2025-12-05 04:57:59.312000,155.03000,1.00
2025-12-01,2025-12-31,20260209_125731,20260209_125731-0011,1,初回,2025-12-05 14:39:18.993000,154.59100,1.00
2025-12-01,2025-12-31,20260209_125731,20260209_125731-0012,1,初回,2025-12-05 15:37:13.739000,154.54700,1.00
2025-12-01,2025-12-31,20260209_125731,20260209_125731-0013,1,初回,2025-12-05 19:31:25.659000,155.12700,1.00
2025-12-01,2025-12-31,20260209_125731,20260209_125731-0014,1,初回,2025-12-05 20:32:33.422000,155.20300,1.00
2025-12-01,2025-12-31,20260209_125731,20260209_125731-0015,1,初回,2025-12-08 16:51:12.250000,155.35100,1.00
2025-12-01,2025-12-31,20260209_125731,20260209_125731-0016,1,初回,2025-12-08 17:30:07.757000,155.46200,1.00
2025-12-01,2025-12-31,20260209_125731,20260209_125731-0017,1,初回,2025-12-08 20:00:06.673000,155.50000,1.00
2025-12-01,2025-12-31,20260209_125731,20260209_125731-0018,1,初回,2025-12-08 18:11:37.725000,155.51100,1.00
2025-12-01,2025-12-31,20260209_125731,20260209_125731-0019,1,初回,2025-12-08 20:05:14.254000,155.56800,1.00
2025-12-01,2025-12-31,20260209_125731,20260209_125731-0020,1,初回,2025-12-09 13:42:11.670000,155.94900,1.00
2025-12-01,2025-12-31,20260209_125731,20260209_125731-0021,1,初回,2025-12-09 14:00:32.919000,155.95600,1.00
2025-12-01,2025-12-31,20260209_125731,20260209_125731-0022,1,初回,2025-12-09 14:07:23.568000,156.06200,1.00
2025-12-01,2025-12-31,20260209_125731,20260209_125731-0023,1,初回,2025-12-09 16:16:15.014000,156.15900,1.00
2025-12-01,2025-12-31,20260209_125731,20260209_125731-0024,1,初回,2025-12-09 21:41:56.302000,156.31000,1.00
2025-12-01,2025-12-31,20260209_125731,20260209_125731-0025,1,初回,2025-12-09 22:03:08.030000,156.32700,1.00
2025-12-01,2025-12-31,20260209_125731,20260209_125731-0026,1,初回,2025-12-09 22:13:08.762000,156.40400,1.00
2025-12-01,2025-12-31,20260209_125731,20260209_125731-0027,1,初回,2025-12-10 22:34:07.351000,156.59800,1.00
2025-12-01,2025-12-31,20260209_125731,20260209_125731-0028,1,初回,2025-12-10 23:02:26.337000,156.59000,1.00
2025-12-01,2025-12-31,20260209_125731,20260209_125731-0029,1,初回,2025-12-11 11:04:04.437000,155.60900,1.00
2025-12-01,2025-12-31,20260209_125731,20260209_125731-0030,1,初回,2025-12-11 14:56:34.015000,156.07000,1.00
2025-12-01,2025-12-31,20260209_125731,20260209_125731-0031,1,初回,2025-12-11 22:05:21.507000,155.52800,1.00
2025-12-01,2025-12-31,20260209_125731,20260209_125731-0032,1,初回,2025-12-15 11:00:45.900000,155.64500,1.00
2025-12-01,2025-12-31,20260209_125731,20260209_125731-0033,1,初回,2025-12-15 15:30:04.079000,154.98800,1.00
2025-12-01,2025-12-31,20260209_125731,20260209_125731-0034,1,初回,2025-12-15 15:30:01.870000,154.99300,1.00
2025-12-01,2025-12-31,20260209_125731,20260209_125731-0035,1,初回,2025-12-15 19:00:17.137000,154.97800,1.00
2025-12-01,2025-12-31,20260209_125731,20260209_125731-0036,1,初回,2025-12-15 18:13:14.282000,154.98700,1.00
2025-12-01,2025-12-31,20260209_125731,20260209_125731-0037,1,初回,2025-12-15 20:53:21.917000,154.94000,1.00
2025-12-01,2025-12-31,20260209_125731,20260209_125731-0038,1,初回,2025-12-15 23:43:47.957000,154.92800,1.00
2025-12-01,2025-12-31,20260209_125731,20260209_125731-0039,1,初回,2025-12-15 23:45:28.079000,154.88600,1.00
2025-12-01,2025-12-31,20260209_125731,20260209_125731-0040,1,初回,2025-12-16 01:00:39.697000,155.19700,1.00
2025-12-01,2025-12-31,20260209_125731,20260209_125731-0041,1,初回,2025-12-16 01:23:50.383000,155.26200,1.00
2025-12-01,2025-12-31,20260209_125731,20260209_125731-0042,1,初回,2025-12-16 02:03:19.905000,155.30100,1.00
2025-12-01,2025-12-31,20260209_125731,20260209_125731-0043,1,初回,2025-12-16 11:00:54.910000,154.87500,1.00
2025-12-01,2025-12-31,20260209_125731,20260209_125731-0044,1,初回,2025-12-16 11:01:04.680000,154.87300,1.00
2025-12-01,2025-12-31,20260209_125731,20260209_125731-0045,1,初回,2025-12-16 11:57:24.029000,154.77300,1.00
2025-12-01,2025-12-31,20260209_125731,20260209_125731-0046,1,初回,2025-12-16 18:40:02.589000,154.79000,1.00
2025-12-01,2025-12-31,20260209_125731,20260209_125731-0047,1,初回,2025-12-17 00:15:41.137000,154.63500,1.00
2025-12-01,2025-12-31,20260209_125731,20260209_125731-0048,1,初回,2025-12-17 04:25:42.870000,154.87600,1.00
2025-12-01,2025-12-31,20260209_125731,20260209_125731-0049,1,初回,2025-12-17 11:17:53.881000,154.88600,1.00
2025-12-01,2025-12-31,20260209_125731,20260209_125731-0050,1,初回,2025-12-17 11:24:40.929000,154.88700,1.00
2025-12-01,2025-12-31,20260209_125731,20260209_125731-0051,1,初回,2025-12-17 11:49:19.553000,154.96800,1.00
2025-12-01,2025-12-31,20260209_125731,20260209_125731-0052,1,初回,2025-12-17 12:04:29.950000,154.99500,1.00
2025-12-01,2025-12-31,20260209_125731,20260209_125731-0053,1,初回,2025-12-17 13:33:27.248000,155.09000,1.00
