開始日,終了日,実行ID,取引ID,in時刻,out時刻,方向,in価格,out価格,ロット合計,損益,累計損益,in理由,out理由,ライン種別,ナンピン回数,平均in価格
2025-12-01,2025-12-31,20260209_133747,20260209_133747-0001,2025-12-03 00:09:35.656000,2025-12-03 00:30:07.264000,売り,156.12100,156.02100,1.00,10.00,10.00,水平線手前,利確,支持抵抗,0,156.12100
2025-12-01,2025-12-31,20260209_133747,20260209_133747-0002,2025-12-04 00:25:15.423000,2025-12-04 00:35:08.222000,買い,155.24600,155.34600,1.00,10.00,20.00,水平線手前,利確,支持抵抗,0,155.24600
2025-12-01,2025-12-31,20260209_133747,20260209_133747-0003,2025-12-04 17:08:08.241000,2025-12-04 17:10:31.308000,買い,155.04900,154.94900,1.00,-10.00,10.00,水平線手前,損切,支持抵抗,0,155.04900
2025-12-01,2025-12-31,20260209_133747,20260209_133747-0004,2025-12-04 20:05:14.723000,2025-12-04 20:08:34.710000,買い,154.70200,154.60200,1.00,-10.00,0.00,水平線手前,損切,支持抵抗,0,154.70200
2025-12-01,2025-12-31,20260209_133747,20260209_133747-0005,2025-12-05 04:57:59.312000,2025-12-05 05:51:34.263000,売り,155.02700,155.12700,1.00,-10.00,-10.00,水平線手前,損切,支持抵抗,0,155.02700
2025-12-01,2025-12-31,20260209_133747,20260209_133747-0006,2025-12-05 14:39:18.993000,2025-12-05 15:16:12.226000,買い,154.59500,154.69500,1.00,10.00,0.00,水平線手前,利確,支持抵抗,0,154.59500
2025-12-01,2025-12-31,20260209_133747,20260209_133747-0007,2025-12-05 15:37:13.739000,2025-12-05 16:26:59.452000,買い,154.54700,154.44700,1.00,-10.00,-10.00,水平線手前,損切,支持抵抗,0,154.54700
2025-12-01,2025-12-31,20260209_133747,20260209_133747-0008,2025-12-05 20:32:33.422000,2025-12-05 21:03:17.253000,売り,155.20200,155.10200,1.00,10.00,0.00,水平線手前,利確,支持抵抗,0,155.20200
2025-12-01,2025-12-31,20260209_133747,20260209_133747-0009,2025-12-08 17:30:07.757000,2025-12-08 20:02:08.837000,売り,155.46200,155.56200,1.00,-10.00,-10.00,水平線手前,損切,支持抵抗,0,155.46200
2025-12-01,2025-12-31,20260209_133747,20260209_133747-0010,2025-12-08 18:11:37.725000,2025-12-08 21:07:28.068000,売り,155.51100,155.61100,1.00,-10.00,-20.00,水平線手前,損切,支持抵抗,0,155.51100
2025-12-01,2025-12-31,20260209_133747,20260209_133747-0011,2025-12-08 20:05:14.254000,2025-12-08 22:56:28.072000,売り,155.56800,155.66800,1.00,-10.00,-30.00,水平線手前,損切,支持抵抗,0,155.56800
2025-12-01,2025-12-31,20260209_133747,20260209_133747-0012,2025-12-09 14:07:23.568000,2025-12-09 14:23:04.731000,売り,156.05600,155.95600,1.00,10.00,-20.00,水平線手前,利確,支持抵抗,0,156.05600
2025-12-01,2025-12-31,20260209_133747,20260209_133747-0013,2025-12-09 16:16:15.014000,2025-12-09 16:39:42.500000,売り,156.15000,156.05000,1.00,10.00,-10.00,水平線手前,利確,支持抵抗,0,156.15000
2025-12-01,2025-12-31,20260209_133747,20260209_133747-0014,2025-12-09 22:13:08.762000,2025-12-09 22:31:02.291000,売り,156.40000,156.50000,1.00,-10.00,-20.00,水平線手前,損切,支持抵抗,0,156.40000
2025-12-01,2025-12-31,20260209_133747,20260209_133747-0015,2025-12-10 22:34:07.351000,2025-12-10 23:47:44.760000,買い,156.59900,156.49900,1.00,-10.00,-30.00,水平線手前,損切,支持抵抗,0,156.59900
2025-12-01,2025-12-31,20260209_133747,20260209_133747-0016,2025-12-11 14:56:34.015000,2025-12-11 15:26:13.515000,売り,156.07000,156.17000,1.00,-10.00,-40.00,水平線手前,損切,支持抵抗,0,156.07000
2025-12-01,2025-12-31,20260209_133747,20260209_133747-0017,2025-12-11 22:05:21.507000,2025-12-11 22:30:00.702000,買い,155.52900,155.42900,1.00,-10.00,-50.00,水平線手前,損切,支持抵抗,0,155.52900
2025-12-01,2025-12-31,20260209_133747,20260209_133747-0018,2025-12-15 15:30:04.079000,2025-12-15 15:43:03.282000,買い,154.98800,155.08800,1.00,10.00,-40.00,水平線手前,利確,支持抵抗,0,154.98800
2025-12-01,2025-12-31,20260209_133747,20260209_133747-0019,2025-12-15 18:13:14.282000,2025-12-15 19:15:27.066000,買い,154.98800,155.08800,1.00,10.00,-30.00,水平線手前,利確,支持抵抗,0,154.98800
2025-12-01,2025-12-31,20260209_133747,20260209_133747-0020,2025-12-15 20:53:21.917000,2025-12-15 21:24:07.738000,買い,154.94000,155.04000,1.00,10.00,-20.00,水平線手前,利確,支持抵抗,0,154.94000
2025-12-01,2025-12-31,20260209_133747,20260209_133747-0021,2025-12-15 23:45:28.079000,2025-12-16 00:12:22.262000,買い,154.89000,154.99000,1.00,10.00,-10.00,水平線手前,利確,支持抵抗,0,154.89000
2025-12-01,2025-12-31,20260209_133747,20260209_133747-0022,2025-12-16 01:00:39.697000,2025-12-16 01:30:43.583000,売り,155.19700,155.29700,1.00,-10.00,-20.00,水平線手前,損切,支持抵抗,0,155.19700
2025-12-01,2025-12-31,20260209_133747,20260209_133747-0023,2025-12-16 01:23:50.383000,2025-12-16 02:36:18.683000,売り,155.26200,155.36200,1.00,-10.00,-30.00,水平線手前,損切,支持抵抗,0,155.26200
2025-12-01,2025-12-31,20260209_133747,20260209_133747-0024,2025-12-16 11:00:54.910000,2025-12-16 11:56:40.271000,買い,154.87500,154.77500,1.00,-10.00,-40.00,水平線手前,損切,支持抵抗,0,154.87500
2025-12-01,2025-12-31,20260209_133747,20260209_133747-0025,2025-12-16 11:57:24.029000,2025-12-16 12:29:50.266000,買い,154.77300,154.87300,1.00,10.00,-30.00,水平線手前,利確,支持抵抗,0,154.77300
2025-12-01,2025-12-31,20260209_133747,20260209_133747-0026,2025-12-17 04:25:42.870000,2025-12-17 04:25:56.292000,売り,154.87400,154.77400,1.00,10.00,-20.00,水平線手前,利確,支持抵抗,0,154.87400
2025-12-01,2025-12-31,20260209_133747,20260209_133747-0027,2025-12-17 11:17:53.881000,2025-12-17 11:50:03.683000,売り,154.88600,154.98600,1.00,-10.00,-30.00,水平線手前,損切,支持抵抗,0,154.88600
2025-12-01,2025-12-31,20260209_133747,20260209_133747-0028,2025-12-17 11:49:19.553000,2025-12-17 13:28:29.884000,売り,154.96700,155.06700,1.00,-10.00,-40.00,水平線手前,損切,支持抵抗,0,154.96700
2025-12-01,2025-12-31,20260209_133747,20260209_133747-0029,2025-12-17 13:33:27.248000,2025-12-17 15:07:55.640000,売り,155.09000,155.19000,1.00,-10.00,-50.00,水平線手前,損切,支持抵抗,0,155.09000
2025-12-01,2025-12-31,20260209_133747,20260209_133747-0030,2025-12-17 15:36:54.501000,2025-12-17 16:08:26.973000,売り,155.36800,155.46800,1.00,-10.00,-60.00,水平線手前,損切,支持抵抗,0,155.36800
2025-12-01,2025-12-31,20260209_133747,20260209_133747-0031,2025-12-18 22:30:01.254000,2025-12-18 22:30:03.728000,買い,155.46400,155.36400,1.00,-10.00,-70.00,水平線手前,損切,支持抵抗,0,155.46400
2025-12-01,2025-12-31,20260209_133747,20260209_133747-0032,2025-12-19 02:16:01.624000,2025-12-19 04:32:16.383000,売り,155.66100,155.56100,1.00,10.00,-60.00,水平線手前,利確,支持抵抗,0,155.66100
2025-12-01,2025-12-31,20260209_133747,20260209_133747-0033,2025-12-19 12:21:38.719000,2025-12-19 12:21:54.027000,売り,155.94400,156.04400,1.00,-10.00,-70.00,水平線手前,損切,支持抵抗,0,155.94400
2025-12-01,2025-12-31,20260209_133747,20260209_133747-0034,2025-12-19 12:21:38.773000,2025-12-19 12:21:54.027000,売り,155.95600,156.05600,1.00,-10.00,-80.00,水平線手前,損切,支持抵抗,0,155.95600
2025-12-01,2025-12-31,20260209_133747,20260209_133747-0035,2025-12-19 12:22:06.415000,2025-12-19 12:22:54.023000,売り,156.13300,156.03300,1.00,10.00,-70.00,水平線手前,利確,支持抵抗,0,156.13300
2025-12-01,2025-12-31,20260209_133747,20260209_133747-0036,2025-12-19 12:22:00.458000,2025-12-19 12:23:01.295000,売り,156.09700,155.99700,1.00,10.00,-60.00,水平線手前,利確,支持抵抗,0,156.09700
2025-12-01,2025-12-31,20260209_133747,20260209_133747-0037,2025-12-19 15:39:51.129000,2025-12-19 15:40:25.869000,売り,156.13300,156.23300,1.00,-10.00,-70.00,水平線手前,損切,支持抵抗,0,156.13300
2025-12-01,2025-12-31,20260209_133747,20260209_133747-0038,2025-12-19 17:02:33.107000,2025-12-19 17:13:32.007000,売り,156.85600,156.75600,1.00,10.00,-60.00,水平線手前,利確,支持抵抗,0,156.85600
2025-12-01,2025-12-31,20260209_133747,20260209_133747-0039,2025-12-19 17:56:45.116000,2025-12-19 18:28:21.203000,売り,156.92300,157.02300,1.00,-10.00,-70.00,水平線手前,損切,支持抵抗,0,156.92300
2025-12-01,2025-12-31,20260209_133747,20260209_133747-0040,2025-12-22 22:10:03.699000,2025-12-22 22:10:03.760000,買い,157.26800,157.16800,1.00,-10.00,-80.00,水平線手前,損切,支持抵抗,0,157.26800
