開始日,終了日,実行ID,取引ID,段階,種別,in時刻,in価格,ロット
2016-01-01,2016-01-31,20260209_000357,20260209_000357-0001,1,初回,2016-01-08 22:30:02.178000,118.69200,1.00
2016-01-01,2016-01-31,20260209_000357,20260209_000357-0002,1,初回,2016-01-08 22:30:05.051000,118.79200,1.00
2016-01-01,2016-01-31,20260209_000357,20260209_000357-0003,1,初回,2016-01-08 22:30:05.752000,118.80600,1.00
2016-01-01,2016-01-31,20260209_000357,20260209_000357-0004,1,初回,2016-01-08 22:30:02.384000,118.74700,1.00
2016-01-01,2016-01-31,20260209_000357,20260209_000357-0005,1,初回,2016-01-20 18:41:37.096000,116.94600,1.00
2016-01-01,2016-01-31,20260209_000357,20260209_000357-0006,1,初回,2016-01-29 12:21:34.845000,118.96200,1.00
2016-01-01,2016-01-31,20260209_000357,20260209_000357-0007,1,初回,2016-01-29 12:21:35.723000,118.98000,1.00
2016-01-01,2016-01-31,20260209_000357,20260209_000357-0008,1,初回,2016-01-29 12:21:35.838000,119.03600,1.00
2016-01-01,2016-01-31,20260209_000357,20260209_000357-0009,1,初回,2016-01-29 12:21:37.748000,119.13800,1.00
2016-01-01,2016-01-31,20260209_000357,20260209_000357-0010,1,初回,2016-01-29 12:22:18.634000,118.56200,1.00
2016-01-01,2016-01-31,20260209_000357,20260209_000357-0011,1,初回,2016-01-29 12:24:40.742000,119.25100,1.00
2016-01-01,2016-01-31,20260209_000357,20260209_000357-0012,1,初回,2016-01-29 12:38:19.314000,118.53200,1.00
2016-01-01,2016-01-31,20260209_000357,20260209_000357-0013,1,初回,2016-01-29 12:38:29.660000,119.66800,1.00
2016-01-01,2016-01-31,20260209_000357,20260209_000357-0014,1,初回,2016-01-29 12:38:31.629000,119.78900,1.00
2016-01-01,2016-01-31,20260209_000357,20260209_000357-0015,1,初回,2016-01-29 12:38:54.227000,120.47900,1.00
2016-02-01,2016-02-29,20260209_000503,20260209_000503-0001,1,初回,2016-02-05 22:30:09.284000,116.32800,1.00
2016-02-01,2016-02-29,20260209_000503,20260209_000503-0002,1,初回,2016-02-10 11:15:04.189000,115.11600,1.00
2016-02-01,2016-02-29,20260209_000503,20260209_000503-0003,1,初回,2016-02-11 17:40:39.037000,111.02000,1.00
2016-02-01,2016-02-29,20260209_000503,20260209_000503-0004,1,初回,2016-02-11 21:21:39.147000,113.16300,1.00
2016-02-01,2016-02-29,20260209_000503,20260209_000503-0005,1,初回,2016-02-12 15:58:07.546000,111.67900,1.00
2016-03-01,2016-03-31,20260209_000557,20260209_000557-0001,1,初回,2016-03-15 11:47:07.831000,114.01300,1.00
2016-03-01,2016-03-31,20260209_000557,20260209_000557-0002,1,初回,2016-03-15 12:31:55.611000,114.11700,1.00
2016-04-01,2016-04-30,20260209_000643,20260209_000643-0001,1,初回,2016-04-06 23:22:17.283000,110.38300,1.00
2016-04-01,2016-04-30,20260209_000643,20260209_000643-0002,1,初回,2016-04-28 12:01:06.482000,111.10100,1.00
2016-04-01,2016-04-30,20260209_000643,20260209_000643-0003,1,初回,2016-04-28 12:01:06.601000,111.05800,1.00
2016-04-01,2016-04-30,20260209_000643,20260209_000643-0004,1,初回,2016-04-28 12:01:09.162000,110.69800,1.00
2016-04-01,2016-04-30,20260209_000643,20260209_000643-0005,1,初回,2016-04-28 12:02:40.377000,109.36900,1.00
2016-04-01,2016-04-30,20260209_000643,20260209_000643-0006,1,初回,2016-04-28 12:02:42.753000,109.29400,1.00
2016-04-01,2016-04-30,20260209_000643,20260209_000643-0007,1,初回,2016-04-28 12:03:44.291000,108.79200,1.00
2016-04-01,2016-04-30,20260209_000643,20260209_000643-0008,1,初回,2016-04-28 12:03:45.590000,108.78900,1.00
2016-06-01,2016-06-30,20260209_000823,20260209_000823-0001,1,初回,2016-06-03 21:30:01.773000,108.50900,1.00
2016-06-01,2016-06-30,20260209_000823,20260209_000823-0002,1,初回,2016-06-16 11:45:46.364000,104.55500,1.00
2016-06-01,2016-06-30,20260209_000823,20260209_000823-0003,1,初回,2016-06-23 15:10:36.941000,104.06200,1.00
2016-06-01,2016-06-30,20260209_000823,20260209_000823-0004,1,初回,2016-06-24 11:43:48.375000,98.99500,1.00
2016-06-01,2016-06-30,20260209_000823,20260209_000823-0005,1,初回,2016-06-24 21:12:38.444000,102.75500,1.00
2016-07-01,2016-07-31,20260209_001006,20260209_001006-0001,1,初回,2016-07-08 21:30:02.259000,100.76300,1.00
2016-07-01,2016-07-31,20260209_001006,20260209_001006-0002,1,初回,2016-07-08 21:30:03.515000,100.94600,1.00
2016-07-01,2016-07-31,20260209_001006,20260209_001006-0003,1,初回,2016-07-08 21:30:12.313000,101.25400,1.00
2016-07-01,2016-07-31,20260209_001006,20260209_001006-0004,1,初回,2016-07-08 21:30:10.390000,101.23300,1.00
2016-07-01,2016-07-31,20260209_001006,20260209_001006-0005,1,初回,2016-07-08 21:30:16.032000,101.20100,1.00
2016-07-01,2016-07-31,20260209_001006,20260209_001006-0006,1,初回,2016-07-27 14:05:15.044000,106.11600,1.00
2016-07-01,2016-07-31,20260209_001006,20260209_001006-0007,1,初回,2016-07-28 03:00:18.333000,105.85400,1.00
2016-07-01,2016-07-31,20260209_001006,20260209_001006-0008,1,初回,2016-07-29 12:44:09.039000,105.47600,1.00
2016-07-01,2016-07-31,20260209_001006,20260209_001006-0009,1,初回,2016-07-29 12:44:10.994000,105.59000,1.00
2016-07-01,2016-07-31,20260209_001006,20260209_001006-0010,1,初回,2016-07-29 12:44:31.034000,103.37200,1.00
2016-07-01,2016-07-31,20260209_001006,20260209_001006-0011,1,初回,2016-07-29 12:44:44.211000,102.85500,1.00
