開始日,終了日,実行ID,取引ID,段階,種別,in時刻,in価格,ロット
2025-12-01,2025-12-31,20260209_133425,20260209_133425-0001,1,初回,2025-12-03 00:09:35.656000,156.12200,1.00
2025-12-01,2025-12-31,20260209_133425,20260209_133425-0002,1,初回,2025-12-04 00:25:15.423000,155.24600,1.00
2025-12-01,2025-12-31,20260209_133425,20260209_133425-0003,1,初回,2025-12-04 17:08:08.241000,155.04900,1.00
2025-12-01,2025-12-31,20260209_133425,20260209_133425-0004,1,初回,2025-12-04 20:05:14.723000,154.69800,1.00
2025-12-01,2025-12-31,20260209_133425,20260209_133425-0005,1,初回,2025-12-05 04:57:59.312000,155.03000,1.00
2025-12-01,2025-12-31,20260209_133425,20260209_133425-0006,1,初回,2025-12-05 14:39:18.993000,154.59100,1.00
2025-12-01,2025-12-31,20260209_133425,20260209_133425-0007,1,初回,2025-12-05 15:37:13.739000,154.54700,1.00
2025-12-01,2025-12-31,20260209_133425,20260209_133425-0008,1,初回,2025-12-05 20:32:33.422000,155.20300,1.00
2025-12-01,2025-12-31,20260209_133425,20260209_133425-0009,1,初回,2025-12-08 17:30:07.757000,155.46200,1.00
2025-12-01,2025-12-31,20260209_133425,20260209_133425-0010,1,初回,2025-12-08 18:11:37.725000,155.51100,1.00
2025-12-01,2025-12-31,20260209_133425,20260209_133425-0011,1,初回,2025-12-08 20:05:14.254000,155.56800,1.00
2025-12-01,2025-12-31,20260209_133425,20260209_133425-0012,1,初回,2025-12-09 14:07:23.568000,156.06200,1.00
2025-12-01,2025-12-31,20260209_133425,20260209_133425-0013,1,初回,2025-12-09 16:16:15.014000,156.15900,1.00
2025-12-01,2025-12-31,20260209_133425,20260209_133425-0014,1,初回,2025-12-09 22:13:08.762000,156.40400,1.00
2025-12-01,2025-12-31,20260209_133425,20260209_133425-0015,1,初回,2025-12-10 22:34:07.351000,156.59800,1.00
2025-12-01,2025-12-31,20260209_133425,20260209_133425-0016,1,初回,2025-12-11 14:56:34.015000,156.07000,1.00
2025-12-01,2025-12-31,20260209_133425,20260209_133425-0017,1,初回,2025-12-11 22:05:21.507000,155.52800,1.00
2025-12-01,2025-12-31,20260209_133425,20260209_133425-0018,1,初回,2025-12-15 15:30:04.079000,154.98800,1.00
2025-12-01,2025-12-31,20260209_133425,20260209_133425-0019,1,初回,2025-12-15 18:13:14.282000,154.98700,1.00
2025-12-01,2025-12-31,20260209_133425,20260209_133425-0020,1,初回,2025-12-15 20:53:21.917000,154.94000,1.00
2025-12-01,2025-12-31,20260209_133425,20260209_133425-0021,1,初回,2025-12-15 23:45:28.079000,154.88600,1.00
2025-12-01,2025-12-31,20260209_133425,20260209_133425-0022,1,初回,2025-12-16 01:00:39.697000,155.19700,1.00
2025-12-01,2025-12-31,20260209_133425,20260209_133425-0023,1,初回,2025-12-16 01:23:50.383000,155.26200,1.00
2025-12-01,2025-12-31,20260209_133425,20260209_133425-0024,1,初回,2025-12-16 11:00:54.910000,154.87500,1.00
2025-12-01,2025-12-31,20260209_133425,20260209_133425-0025,1,初回,2025-12-16 11:57:24.029000,154.77300,1.00
2025-12-01,2025-12-31,20260209_133425,20260209_133425-0026,1,初回,2025-12-17 04:25:42.870000,154.87600,1.00
2025-12-01,2025-12-31,20260209_133425,20260209_133425-0027,1,初回,2025-12-17 11:17:53.881000,154.88600,1.00
2025-12-01,2025-12-31,20260209_133425,20260209_133425-0028,1,初回,2025-12-17 11:49:19.553000,154.96800,1.00
2025-12-01,2025-12-31,20260209_133425,20260209_133425-0029,1,初回,2025-12-17 13:33:27.248000,155.09000,1.00
2025-12-01,2025-12-31,20260209_133425,20260209_133425-0030,1,初回,2025-12-17 15:36:54.501000,155.37000,1.00
2025-12-01,2025-12-31,20260209_133425,20260209_133425-0031,1,初回,2025-12-18 22:30:01.254000,155.43100,1.00
2025-12-01,2025-12-31,20260209_133425,20260209_133425-0032,1,初回,2025-12-19 02:16:01.624000,155.66300,1.00
2025-12-01,2025-12-31,20260209_133425,20260209_133425-0033,1,初回,2025-12-19 12:21:38.719000,155.94700,1.00
2025-12-01,2025-12-31,20260209_133425,20260209_133425-0034,1,初回,2025-12-19 12:21:38.773000,155.96000,1.00
2025-12-01,2025-12-31,20260209_133425,20260209_133425-0035,1,初回,2025-12-19 12:22:06.415000,156.13700,1.00
2025-12-01,2025-12-31,20260209_133425,20260209_133425-0036,1,初回,2025-12-19 12:22:00.458000,156.09800,1.00
2025-12-01,2025-12-31,20260209_133425,20260209_133425-0037,1,初回,2025-12-19 15:39:51.129000,156.13300,1.00
2025-12-01,2025-12-31,20260209_133425,20260209_133425-0038,1,初回,2025-12-19 17:02:33.107000,156.85600,1.00
2025-12-01,2025-12-31,20260209_133425,20260209_133425-0039,1,初回,2025-12-19 17:56:45.116000,156.92300,1.00
2025-12-01,2025-12-31,20260209_133425,20260209_133425-0040,1,初回,2025-12-22 22:10:03.699000,157.14700,1.00
2025-12-01,2025-12-31,20260209_133425,20260209_133425-0041,1,初回,2025-12-23 01:15:02.626000,156.90500,1.00
2025-12-01,2025-12-31,20260209_133425,20260209_133425-0042,1,初回,2025-12-23 18:03:52.030000,155.77000,1.00
2025-12-01,2025-12-31,20260209_133425,20260209_133425-0043,1,初回,2025-12-24 11:16:58.475000,155.69000,1.00
2025-12-01,2025-12-31,20260209_133425,20260209_133425-0044,1,初回,2025-12-24 18:05:26.658000,155.70200,1.00
2025-12-01,2025-12-31,20260209_133425,20260209_133425-0045,1,初回,2025-12-24 21:57:45.578000,156.03500,1.00
2025-12-01,2025-12-31,20260209_133425,20260209_133425-0046,1,初回,2025-12-25 11:18:38.035000,155.70500,1.00
2025-12-01,2025-12-31,20260209_133425,20260209_133425-0047,1,初回,2025-12-25 13:05:48.301000,155.60400,1.00
2025-12-01,2025-12-31,20260209_133425,20260209_133425-0048,1,初回,2025-12-25 14:14:08.365000,155.48200,1.00
2025-12-01,2025-12-31,20260209_133425,20260209_133425-0049,1,初回,2025-12-25 15:41:37.321000,155.89400,1.00
2025-12-01,2025-12-31,20260209_133425,20260209_133425-0050,1,初回,2025-12-25 16:57:31.577000,156.04500,1.00
2025-12-01,2025-12-31,20260209_133425,20260209_133425-0051,1,初回,2025-12-25 16:49:46.579000,155.99900,1.00
2025-12-01,2025-12-31,20260209_133425,20260209_133425-0052,1,初回,2025-12-26 18:24:28.067000,156.46200,1.00
2025-12-01,2025-12-31,20260209_133425,20260209_133425-0053,1,初回,2025-12-27 00:55:37.055000,156.51600,1.00
2025-12-01,2025-12-31,20260209_133425,20260209_133425-0054,1,初回,2025-12-29 16:54:29.643000,156.08600,1.00
2025-12-01,2025-12-31,20260209_133425,20260209_133425-0055,1,初回,2025-12-29 23:40:51.663000,156.02700,1.00
