開始日,終了日,実行ID,取引ID,in時刻,out時刻,方向,in価格,out価格,ロット合計,損益,累計損益,in理由,out理由,ライン種別,ナンピン回数,平均in価格
2025-01-01,2025-01-31,20260208_031154,20260208_031154-0001,2025-01-04 00:00:01.293000,2025-01-04 00:00:31.299000,売り,157.28900,157.27800,1.00,1.10,1.10,秒逆張り,,,0,157.28900
2025-01-01,2025-01-31,20260208_031154,20260208_031154-0002,2025-01-08 00:00:03.384000,2025-01-08 00:00:33.401000,売り,158.10400,158.13000,1.00,-2.60,-1.50,秒逆張り,,,0,158.10400
2025-01-01,2025-01-31,20260208_031154,20260208_031154-0003,2025-01-08 22:15:05.379000,2025-01-08 22:15:35.448000,買い,158.25900,158.29400,1.00,3.50,2.00,秒逆張り,,,0,158.25900
2025-01-01,2025-01-31,20260208_031154,20260208_031154-0004,2025-01-08 22:29:49.296000,2025-01-08 22:30:20.062000,売り,158.35600,158.25900,1.00,9.70,11.70,秒逆張り,,,0,158.35600
2025-01-01,2025-01-31,20260208_031154,20260208_031154-0005,2025-01-10 17:30:12.152000,2025-01-10 17:30:42.200000,買い,158.09700,158.17200,1.00,7.50,19.20,秒逆張り,,,0,158.09700
2025-01-01,2025-01-31,20260208_031154,20260208_031154-0006,2025-01-10 22:30:06.653000,2025-01-10 22:30:14.262000,売り,158.54500,158.59500,1.00,-5.00,14.20,秒逆張り,,,0,158.54500
2025-01-01,2025-01-31,20260208_031154,20260208_031154-0007,2025-01-11 00:00:01.989000,2025-01-11 00:00:32.120000,売り,158.09300,157.99300,1.00,10.00,24.20,秒逆張り,,,0,158.09300
2025-01-01,2025-01-31,20260208_031154,20260208_031154-0008,2025-01-14 22:30:02.705000,2025-01-14 22:30:03.394000,買い,157.48600,157.43600,1.00,-5.00,19.20,秒逆張り,,,0,157.48600
2025-01-01,2025-01-31,20260208_031154,20260208_031154-0009,2025-01-15 22:30:02.952000,2025-01-15 22:30:03.058000,買い,156.51800,156.46800,1.00,-5.00,14.20,秒逆張り,,,0,156.51800
2025-01-01,2025-01-31,20260208_031154,20260208_031154-0010,2025-01-15 22:30:07.600000,2025-01-15 22:30:07.921000,買い,156.46700,156.41700,1.00,-5.00,9.20,秒逆張り,,,0,156.46700
2025-01-01,2025-01-31,20260208_031154,20260208_031154-0011,2025-01-15 22:30:14.164000,2025-01-15 22:30:15.332000,買い,156.50800,156.65800,1.00,15.00,24.20,秒逆張り,,,0,156.50800
2025-01-01,2025-01-31,20260208_031154,20260208_031154-0012,2025-01-15 22:30:20.383000,2025-01-15 22:30:23.800000,買い,156.43200,156.38200,1.00,-5.00,19.20,秒逆張り,,,0,156.43200
2025-01-01,2025-01-31,20260208_031154,20260208_031154-0013,2025-01-16 22:30:02.071000,2025-01-16 22:30:03.190000,買い,156.16900,156.11900,1.00,-5.00,14.20,秒逆張り,,,0,156.16900
2025-01-01,2025-01-31,20260208_031154,20260208_031154-0014,2025-01-17 00:05:54.748000,2025-01-17 00:06:24.872000,買い,155.92800,156.00900,1.00,8.10,22.30,秒逆張り,,,0,155.92800
2025-01-01,2025-01-31,20260208_031154,20260208_031154-0015,2025-01-20 22:30:09.394000,2025-01-20 22:30:10.680000,買い,156.08900,156.03900,1.00,-5.00,17.30,秒逆張り,,,0,156.08900
2025-01-01,2025-01-31,20260208_031154,20260208_031154-0016,2025-01-20 22:30:17.161000,2025-01-20 22:30:26.181000,買い,155.96500,156.11500,1.00,15.00,32.30,秒逆張り,,,0,155.96500
2025-01-01,2025-01-31,20260208_031154,20260208_031154-0017,2025-01-21 02:18:05.564000,2025-01-21 02:18:35.652000,買い,155.75300,155.82000,1.00,6.70,39.00,秒逆張り,,,0,155.75300
2025-01-01,2025-01-31,20260208_031154,20260208_031154-0018,2025-01-24 01:11:42.296000,2025-01-24 01:11:54.948000,売り,156.32100,156.37100,1.00,-5.00,34.00,秒逆張り,,,0,156.32100
2025-01-01,2025-01-31,20260208_031154,20260208_031154-0019,2025-01-24 12:23:09.236000,2025-01-24 12:23:11.551000,買い,155.83000,155.98000,1.00,15.00,49.00,秒逆張り,,,0,155.83000
2025-01-01,2025-01-31,20260208_031154,20260208_031154-0020,2025-01-24 12:24:30.702000,2025-01-24 12:24:37.229000,売り,156.36600,156.41600,1.00,-5.00,44.00,秒逆張り,,,0,156.36600
2025-01-01,2025-01-31,20260208_031154,20260208_031154-0021,2025-01-24 12:30:04.933000,2025-01-24 12:30:28.262000,買い,155.75400,155.90400,1.00,15.00,59.00,秒逆張り,,,0,155.75400
2025-01-01,2025-01-31,20260208_031154,20260208_031154-0022,2025-01-24 23:45:01.626000,2025-01-24 23:45:07.492000,買い,156.18900,156.13900,1.00,-5.00,54.00,秒逆張り,,,0,156.18900
2025-01-01,2025-01-31,20260208_031154,20260208_031154-0023,2025-01-30 04:00:06.434000,2025-01-30 04:00:13.198000,売り,155.27200,155.32200,1.00,-5.00,49.00,秒逆張り,,,0,155.27200
2025-01-01,2025-01-31,20260208_031154,20260208_031154-0024,2025-01-30 04:38:04.143000,2025-01-30 04:38:05.861000,買い,155.43800,155.38800,1.00,-5.00,44.00,秒逆張り,,,0,155.43800
2025-02-01,2025-02-28,20260208_031342,20260208_031342-0001,2025-02-01 03:20:03.817000,2025-02-01 03:20:33.817000,売り,155.10900,155.05400,1.00,5.50,49.50,秒逆張り,,,0,155.10900
2025-02-01,2025-02-28,20260208_031342,20260208_031342-0002,2025-02-04 00:00:01.824000,2025-02-04 00:00:31.869000,売り,154.65100,154.65900,1.00,-0.80,48.70,秒逆張り,,,0,154.65100
2025-02-01,2025-02-28,20260208_031342,20260208_031342-0003,2025-02-05 00:00:05.145000,2025-02-05 00:00:07.155000,買い,154.88300,154.83300,1.00,-5.00,43.70,秒逆張り,,,0,154.88300
2025-02-01,2025-02-28,20260208_031342,20260208_031342-0004,2025-02-05 22:15:06.301000,2025-02-05 22:15:35.041000,売り,152.89600,152.94600,1.00,-5.00,38.70,秒逆張り,,,0,152.89600
2025-02-01,2025-02-28,20260208_031342,20260208_031342-0005,2025-02-06 00:00:02.157000,2025-02-06 00:00:14.626000,買い,152.53800,152.48800,1.00,-5.00,33.70,秒逆張り,,,0,152.53800
2025-02-01,2025-02-28,20260208_031342,20260208_031342-0006,2025-02-07 22:30:03.223000,2025-02-07 22:30:03.428000,買い,151.50600,151.45600,1.00,-5.00,28.70,秒逆張り,,,0,151.50600
2025-02-01,2025-02-28,20260208_031342,20260208_031342-0007,2025-02-07 22:30:08.356000,2025-02-07 22:30:08.460000,買い,151.38000,151.33000,1.00,-5.00,23.70,秒逆張り,,,0,151.38000
2025-02-01,2025-02-28,20260208_031342,20260208_031342-0008,2025-02-07 22:30:33.129000,2025-02-07 22:30:38.165000,売り,152.03300,152.08300,1.00,-5.00,18.70,秒逆張り,,,0,152.03300
2025-02-01,2025-02-28,20260208_031342,20260208_031342-0009,2025-02-07 22:30:50.292000,2025-02-07 22:31:06.111000,売り,152.19800,152.24800,1.00,-5.00,13.70,秒逆張り,,,0,152.19800
2025-02-01,2025-02-28,20260208_031342,20260208_031342-0010,2025-02-08 02:16:48.959000,2025-02-08 02:16:50.518000,売り,151.73800,151.78800,1.00,-5.00,8.70,秒逆張り,,,0,151.73800
2025-02-01,2025-02-28,20260208_031342,20260208_031342-0011,2025-02-12 22:30:04.573000,2025-02-12 22:30:05.511000,売り,154.12300,154.17300,1.00,-5.00,3.70,秒逆張り,,,0,154.12300
2025-02-01,2025-02-28,20260208_031342,20260208_031342-0012,2025-02-13 22:30:03.323000,2025-02-13 22:30:08.737000,買い,153.71100,153.86100,1.00,15.00,18.70,秒逆張り,,,0,153.71100
2025-02-01,2025-02-28,20260208_031342,20260208_031342-0013,2025-02-14 22:30:01.860000,2025-02-14 22:30:16.790000,買い,152.46900,152.41900,1.00,-5.00,13.70,秒逆張り,,,0,152.46900
2025-02-01,2025-02-28,20260208_031342,20260208_031342-0014,2025-02-21 17:15:02.282000,2025-02-21 17:15:06.286000,買い,150.45200,150.40200,1.00,-5.00,8.70,秒逆張り,,,0,150.45200
2025-02-01,2025-02-28,20260208_031342,20260208_031342-0015,2025-02-21 23:45:01.626000,2025-02-21 23:45:22.250000,買い,149.93500,149.88500,1.00,-5.00,3.70,秒逆張り,,,0,149.93500
2025-02-01,2025-02-28,20260208_031342,20260208_031342-0016,2025-02-27 22:30:01.193000,2025-02-27 22:30:03.592000,買い,149.48300,149.43300,1.00,-5.00,-1.30,秒逆張り,,,0,149.48300
