開始日,終了日,実行ID,取引ID,in時刻,out時刻,方向,in価格,out価格,ロット合計,損益,累計損益,in理由,out理由,ライン種別,ナンピン回数,平均in価格
2025-01-01,2025-01-31,20260208_031407,20260208_031407-0001,2025-01-04 00:00:01.293000,2025-01-04 00:01:01.445000,売り,157.28900,157.29000,1.00,-0.10,-0.10,秒逆張り,,,0,157.28900
2025-01-01,2025-01-31,20260208_031407,20260208_031407-0002,2025-01-08 00:00:03.384000,2025-01-08 00:00:36.782000,売り,158.10400,158.15400,1.00,-5.00,-5.10,秒逆張り,,,0,158.10400
2025-01-01,2025-01-31,20260208_031407,20260208_031407-0003,2025-01-08 22:15:05.379000,2025-01-08 22:16:05.579000,買い,158.25900,158.30300,1.00,4.40,-0.70,秒逆張り,,,0,158.25900
2025-01-01,2025-01-31,20260208_031407,20260208_031407-0004,2025-01-08 22:29:49.296000,2025-01-08 22:30:41.040000,売り,158.35600,158.20600,1.00,15.00,14.30,秒逆張り,,,0,158.35600
2025-01-01,2025-01-31,20260208_031407,20260208_031407-0005,2025-01-10 17:30:12.152000,2025-01-10 17:30:50.486000,買い,158.09700,158.24700,1.00,15.00,29.30,秒逆張り,,,0,158.09700
2025-01-01,2025-01-31,20260208_031407,20260208_031407-0006,2025-01-10 22:30:06.653000,2025-01-10 22:30:14.262000,売り,158.54500,158.59500,1.00,-5.00,24.30,秒逆張り,,,0,158.54500
2025-01-01,2025-01-31,20260208_031407,20260208_031407-0007,2025-01-11 00:00:01.989000,2025-01-11 00:01:02.068000,売り,158.09300,158.04300,1.00,5.00,29.30,秒逆張り,,,0,158.09300
2025-01-01,2025-01-31,20260208_031407,20260208_031407-0008,2025-01-14 22:30:02.705000,2025-01-14 22:30:03.394000,買い,157.48600,157.43600,1.00,-5.00,24.30,秒逆張り,,,0,157.48600
2025-01-01,2025-01-31,20260208_031407,20260208_031407-0009,2025-01-15 22:30:02.952000,2025-01-15 22:30:03.058000,買い,156.51800,156.46800,1.00,-5.00,19.30,秒逆張り,,,0,156.51800
2025-01-01,2025-01-31,20260208_031407,20260208_031407-0010,2025-01-15 22:30:07.600000,2025-01-15 22:30:07.921000,買い,156.46700,156.41700,1.00,-5.00,14.30,秒逆張り,,,0,156.46700
2025-01-01,2025-01-31,20260208_031407,20260208_031407-0011,2025-01-15 22:30:14.164000,2025-01-15 22:30:15.332000,買い,156.50800,156.65800,1.00,15.00,29.30,秒逆張り,,,0,156.50800
2025-01-01,2025-01-31,20260208_031407,20260208_031407-0012,2025-01-15 22:30:20.383000,2025-01-15 22:30:23.800000,買い,156.43200,156.38200,1.00,-5.00,24.30,秒逆張り,,,0,156.43200
2025-01-01,2025-01-31,20260208_031407,20260208_031407-0013,2025-01-16 22:30:02.071000,2025-01-16 22:30:03.190000,買い,156.16900,156.11900,1.00,-5.00,19.30,秒逆張り,,,0,156.16900
2025-01-01,2025-01-31,20260208_031407,20260208_031407-0014,2025-01-17 00:05:54.748000,2025-01-17 00:06:40.102000,買い,155.92800,156.07800,1.00,15.00,34.30,秒逆張り,,,0,155.92800
2025-01-01,2025-01-31,20260208_031407,20260208_031407-0015,2025-01-20 22:30:09.394000,2025-01-20 22:30:10.680000,買い,156.08900,156.03900,1.00,-5.00,29.30,秒逆張り,,,0,156.08900
2025-01-01,2025-01-31,20260208_031407,20260208_031407-0016,2025-01-20 22:30:17.161000,2025-01-20 22:30:26.181000,買い,155.96500,156.11500,1.00,15.00,44.30,秒逆張り,,,0,155.96500
2025-01-01,2025-01-31,20260208_031407,20260208_031407-0017,2025-01-21 02:18:05.564000,2025-01-21 02:19:05.565000,買い,155.75300,155.81800,1.00,6.50,50.80,秒逆張り,,,0,155.75300
2025-01-01,2025-01-31,20260208_031407,20260208_031407-0018,2025-01-24 01:11:42.296000,2025-01-24 01:11:54.948000,売り,156.32100,156.37100,1.00,-5.00,45.80,秒逆張り,,,0,156.32100
2025-01-01,2025-01-31,20260208_031407,20260208_031407-0019,2025-01-24 12:23:09.236000,2025-01-24 12:23:11.551000,買い,155.83000,155.98000,1.00,15.00,60.80,秒逆張り,,,0,155.83000
2025-01-01,2025-01-31,20260208_031407,20260208_031407-0020,2025-01-24 12:24:30.702000,2025-01-24 12:24:37.229000,売り,156.36600,156.41600,1.00,-5.00,55.80,秒逆張り,,,0,156.36600
2025-01-01,2025-01-31,20260208_031407,20260208_031407-0021,2025-01-24 12:30:04.933000,2025-01-24 12:30:28.262000,買い,155.75400,155.90400,1.00,15.00,70.80,秒逆張り,,,0,155.75400
2025-01-01,2025-01-31,20260208_031407,20260208_031407-0022,2025-01-24 23:45:01.626000,2025-01-24 23:45:07.492000,買い,156.18900,156.13900,1.00,-5.00,65.80,秒逆張り,,,0,156.18900
2025-01-01,2025-01-31,20260208_031407,20260208_031407-0023,2025-01-30 04:00:06.434000,2025-01-30 04:00:13.198000,売り,155.27200,155.32200,1.00,-5.00,60.80,秒逆張り,,,0,155.27200
2025-01-01,2025-01-31,20260208_031407,20260208_031407-0024,2025-01-30 04:38:04.143000,2025-01-30 04:38:05.861000,買い,155.43800,155.38800,1.00,-5.00,55.80,秒逆張り,,,0,155.43800
