年月,取引数,勝ち,負け,合計損益,最大DD,ロング損益,ショート損益,秒逆張り損益,勢い追随損益,水平線戻り損益,スパイク損益
2017年01月,5,4,1,35.00,5.00,15.00,20.00,35.00,0.00,0.00,0.00
2017年02月,5,2,3,5.00,10.00,0.00,5.00,5.00,0.00,0.00,0.00
2017年03月,4,1,3,-5.00,15.00,-15.00,10.00,-5.00,0.00,0.00,0.00
2017年04月,3,2,1,15.00,5.00,20.00,-5.00,15.00,0.00,0.00,0.00
2017年05月,2,1,1,5.00,5.00,0.00,5.00,5.00,0.00,0.00,0.00
2017年06月,4,2,2,10.00,5.00,15.00,-5.00,10.00,0.00,0.00,0.00
2017年07月,6,4,2,30.00,5.00,-10.00,40.00,30.00,0.00,0.00,0.00
2017年08月,4,2,2,10.00,10.00,15.00,-5.00,10.00,0.00,0.00,0.00
2017年09月,10,6,4,40.00,10.00,30.00,10.00,40.00,0.00,0.00,0.00
2017年10月,4,1,3,-5.00,15.00,-10.00,5.00,-5.00,0.00,0.00,0.00
2017年11月,1,0,1,-5.00,5.00,-5.00,0.00,-5.00,0.00,0.00,0.00
2017年12月,4,3,1,25.00,5.00,30.00,-5.00,25.00,0.00,0.00,0.00
2018年01月,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018年02月,3,2,1,15.00,5.00,0.00,15.00,15.00,0.00,0.00,0.00
2018年03月,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018年04月,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018年05月,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018年06月,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018年07月,6,5,1,45.00,5.00,25.00,20.00,45.00,0.00,0.00,0.00
2018年08月,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018年09月,1,1,0,10.00,0.00,10.00,0.00,10.00,0.00,0.00,0.00
2018年10月,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018年11月,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018年12月,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2019年01月,2,0,2,-10.00,10.00,0.00,-10.00,-10.00,0.00,0.00,0.00
2019年02月,1,1,0,10.00,0.00,0.00,10.00,10.00,0.00,0.00,0.00
2019年03月,1,0,1,-5.00,5.00,0.00,-5.00,-5.00,0.00,0.00,0.00
2019年04月,2,1,1,5.00,5.00,10.00,-5.00,5.00,0.00,0.00,0.00
2019年05月,1,1,0,10.00,0.00,0.00,10.00,10.00,0.00,0.00,0.00
2019年06月,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2019年07月,1,1,0,10.00,0.00,0.00,10.00,10.00,0.00,0.00,0.00
2019年08月,4,1,3,-5.00,15.00,0.00,-5.00,-5.00,0.00,0.00,0.00
2019年09月,2,2,0,20.00,0.00,10.00,10.00,20.00,0.00,0.00,0.00
2019年10月,5,2,3,5.00,10.00,5.00,0.00,5.00,0.00,0.00,0.00
2019年11月,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2019年12月,1,0,1,-5.00,5.00,0.00,-5.00,-5.00,0.00,0.00,0.00
2020年01月,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2020年02月,1,0,1,-5.00,5.00,0.00,-5.00,-5.00,0.00,0.00,0.00
2020年03月,25,16,9,115.00,20.00,75.00,40.00,115.00,0.00,0.00,0.00
2020年04月,1,1,0,10.00,0.00,0.00,10.00,10.00,0.00,0.00,0.00
2020年05月,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2020年06月,2,2,0,20.00,0.00,10.00,10.00,20.00,0.00,0.00,0.00
