年月,取引数,勝ち,負け,合計損益,最大DD,ロング損益,ショート損益,秒逆張り損益,勢い追随損益,水平線戻り損益,スパイク損益
2025年01月,35,12,23,5.00,20.00,25.00,-20.00,5.00,0.00,0.00,0.00
2025年02月,20,4,16,-40.00,60.00,-40.00,-0.00,-40.00,0.00,0.00,0.00
2025年03月,25,6,19,-35.00,50.00,5.00,-40.00,-35.00,0.00,0.00,0.00
2025年04月,101,29,72,-70.00,140.00,-5.00,-65.00,-70.00,0.00,0.00,0.00
2025年05月,22,5,17,-35.00,50.00,-20.00,-15.00,-35.00,0.00,0.00,0.00
2025年06月,20,6,14,-10.00,25.00,-0.00,-10.00,-10.00,0.00,0.00,0.00
2025年07月,39,9,30,-60.00,70.00,-5.00,-55.00,-60.00,0.00,0.00,0.00
2025年08月,28,3,25,-95.00,100.00,-75.00,-20.00,-95.00,0.00,0.00,0.00
2025年09月,26,6,20,-40.00,55.00,-35.00,-5.00,-40.00,0.00,0.00,0.00
2025年10月,27,7,20,-30.00,50.00,-0.00,-30.00,-30.00,0.00,0.00,0.00
2025年11月,14,7,7,35.00,10.00,55.00,-20.00,35.00,0.00,0.00,0.00
2025年12月,26,10,16,20.00,20.00,5.00,15.00,20.00,0.00,0.00,0.00
